sample,FP1,FP2,T7,T8,P7,P8,O1,Oz,O2
241,80.02026,-73.33569,126.131836,-4.248047,81.27185,16.35254,-53.194862,-70.54193,-47.81665
242,76.086914,-70.899414,132.29297,-1.5898438,85.18286,19.177734,-27.181292,-53.40381,-24.511475
243,78.062744,-70.01367,130.37402,18.670898,87.48999,37.32373,-6.039814,-37.130524,-3.2954102
244,81.448975,-71.95996,120.45801,14.5078125,76.975464,33.722168,-35.09848,-54.143982,-22.869385
245,82.230225,-71.573,119.92578,-2.8730469,84.09595,26.751953,-51.35447,-63.783813,-39.749756
246,72.781494,-71.08911,121.06641,-4.28125,87.138794,23.178223,-37.172558,-54.660645,-26.386963
247,76.45361,-63.024414,135.41113,20.918945,102.923706,35.16455,6.650669,-29.858063,3.7719727
248,71.19409,-71.21265,126.1543,20.251953,88.9707,31.243164,-10.04414,-43.185516,-15.475586
249,69.26611,-81.86084,113.96387,6.899414,73.846924,32.166016,-52.698196,-66.741394,-39.799805
250,71.90234,-73.90723,115.05957,10.480469,78.41516,42.73291,-47.636696,-56.121246,-24.764648
251,57.531494,-80.931885,116.81055,-6.7158203,79.03711,22.145996,-31.15126,-53.599884,-21.67041
252,76.83276,-61.30713,131.56348,16.874023,91.03406,31.101074,-3.6200237,-34.158264,-4.80542
253,73.26782,-73.3147,126.57617,17.945312,87.467896,31.856445,-19.51315,-47.491608,-22.665527
254,66.64697,-75.97998,122.06641,8.586914,81.80054,36.316895,-42.625362,-55.441223,-30.996338
255,74.368164,-62.71582,130.02637,16.472656,91.22681,44.853516,-27.30354,-43.772217,-12.748047
256,68.67554,-68.5686,118.993164,13.416016,80.92578,30.731934,-7.3518124,-36.314575,-4.5874023
257,60.73462,-78.2334,125.75488,17.546875,84.7262,27.163574,-5.2526207,-36.041016,-8.868408
258,62.304443,-75.36426,123.80957,13.535156,83.81311,32.63867,-35.89103,-55.409058,-28.467285
259,57.5166,-82.99585,115.325195,-3.819336,75.489136,23.219727,-56.21351,-70.06601,-39.21118
260,62.43213,-70.596436,119.02051,2.78125,84.12964,18.009277,-29.071873,-54.838257,-25.142334
261,75.84961,-59.551025,121.39453,20.473633,80.14734,26.490723,-2.7088509,-35.86075,-0.4189453
262,76.32495,-58.16748,114.52832,23.918945,72.4635,32.024414,-18.361177,-43.559296,-11.76709
263,79.60083,-68.48877,111.90234,6.8320312,66.14026,25.129395,-53.490692,-67.724915,-43.98828
264,69.53198,-72.30176,117.490234,1.3925781,83.24451,23.85254,-44.262085,-60.910828,-32.40918
265,44.23584,-96.67578,113.850586,-20.539062,91.29089,10.511719,-3.8030548,-37.34668,-8.11084
266,54.33203,-88.279785,120.94141,3.2041016,92.19031,15.089844,8.246746,-31.928162,-0.68774414
267,68.57422,-73.59546,116.8457,11.605469,82.65344,28.533691,-29.078203,-54.379425,-29.471924
268,74.704346,-71.2334,107.461914,9.78418,74.77942,35.827637,-49.006676,-63.441895,-33.813477
269,74.56006,-60.71997,106.22949,11.900391,76.00488,41.063965,-26.420101,-43.95874,-6.0771484
