sample,FP1,FP2,T7,T8,P7,P8,O1,Oz,O2
142,144.20142,-1.8435059,168.6084,10.388672,97.55652,38.390137,90.0367,-12.469879,16.8042
143,143.27637,-3.1428223,160.65527,16.675781,94.90381,51.89209,86.63751,-15.642059,14.964844
144,134.02148,-7.376709,149.9873,16.82129,91.27783,62.206543,69.495636,-22.86557,5.51709
145,129.84985,-9.18042,143.59668,15.885742,90.903076,65.31348,68.6454,-21.415863,5.3583984
146,119.45361,-14.425293,140.74902,1.2861328,86.809326,50.48584,81.5874,-18.302124,13.879395
147,135.32568,-8.332275,155.28516,12.1953125,91.7677,41.01758,86.22389,-19.045288,9.567871
148,142.88623,2.9714355,152.68652,13.308594,80.926025,40.083496,49.395283,-38.910797,-12.104492
149,152.1499,13.310303,156.35254,20.841797,98.62109,68.34082,64.49675,-18.604797,6.300537
150,143.28247,17.372803,158.83398,28.530273,115.34839,83.33984,106.17702,12.497803,42.11841
151,130.7732,9.9782715,146.74316,28.126953,105.884155,67.11377,122.611984,11.524048,44.492676
152,133.6936,10.253418,149.53711,32.402344,97.97485,62.5708,99.06091,-7.2314453,21.801025
153,127.10864,-1.9450684,140.03125,19.13379,84.4303,52.222656,42.46581,-45.925507,-18.480225
154,132.05542,6.069824,138.82227,8.740234,83.16345,31.947754,34.540325,-47.89798,-22.294434
155,155.0498,30.731934,157.79297,32.807617,101.746826,61.186035,91.67502,-0.67910767,31.480225
156,144.229,21.60083,153.64648,39.6709,109.29724,67.24609,124.0405,19.164734,52.121582
157,145.93555,13.527588,146.56348,34.476562,99.28186,69.41406,92.57762,-6.441681,27.471436
158,130.41235,-2.61792,142.2793,17.87207,93.09094,57.870117,58.522724,-33.098694,-2.8793945
159,129.20728,3.915039,141.91699,8.902344,94.97693,39.78955,60.79463,-32.74283,-8.363525
160,134.75146,9.221436,146.92578,15.256836,95.42053,33.731934,82.20407,-19.13031,14.261963
161,145.00977,19.069824,151.61523,34.61914,95.38257,53.980957,86.13495,-9.801666,28.679932
162,144.39111,9.42627,147.82031,22.402344,95.52258,59.506348,67.203964,-20.862122,13.955811
163,128.48682,-3.5246582,135.1748,4.455078,89.479614,49.793457,56.2085,-32.47705,-0.30786133
164,132.49829,-1.28125,143.29492,4.817383,99.63953,41.870117,84.25752,-22.944397,10.244873
165,135.66406,2.3188477,151.78906,22.52832,108.30139,44.693848,99.77464,-11.062958,20.540771
166,142.99878,-1.1047363,145.41699,13.566406,90.27954,29.416504,60.228474,-36.59189,-6.5646973
167,150.38452,2.8308105,149.91113,18.761719,90.205444,49.88867,41.66077,-34.897217,-3.6638184
168,147.90356,2.8613281,155.80371,14.577148,97.539795,58.509766,62.01388,-25.722534,15.397949
169,146.93042,3.0012207,158.30664,22.259766,108.00195,59.313477,107.62703,-4.4064636,41.11792
